Date,ABSA Bank Kenya Plc,ABSA NewGold ETF,ARM Cement Plc,Africa Mega Agricorp Plc,BK Group Plc,BOC Kenya Plc,Bamburi Cement Ltd,Britam Holdings Plc,British American Tobacco Kenya Plc,CIC Insurance Group Ltd,Car and General (K) Ltd,Carbacid Investments Plc,Centum Investment Company Plc,Co-operative Bank of Kenya Ltd,Crown Paints Kenya Plc,Deacons (East Africa) Plc,Diamond Trust Bank Kenya Ltd,Eaagads Ltd,East African Breweries Ltd,East African Cables Plc,East African Portland Cement Ltd,Equity Group Holdings Plc,Eveready East Africa Ltd,Express Kenya Plc,Flame Tree Group Holdings Ltd,HF Group Ltd,Home Afrika Ltd,Homeboyz Entertainment Plc,I & M Holdings Plc,Jubilee Holdings Ltd,KCB Group Plc,KPLC-P4,KPLC-P7,Kakuzi Plc,Kapchorua Tea Kenya Plc,Kenya Airways Plc,Kenya Electricity Generating Company Plc,Kenya Power and Lighting Company Plc,Kenya Re-Insurance Corporation Ltd,Kurwitu Ventures Ltd,Laptrust Imara Income-REIT,Liberty Kenya Holdings Ltd,Limuru Tea Plc,Longhorn Publishers Plc,Mumias Sugar Company Ltd,NCBA Group Plc,NSE 10-Share Index,NSE 20-Share Index,NSE 25-Share Index,NSE All-Share Index,NSE Banking Sector Index,NSE Bonds Index,Nairobi Business Ventures Ltd,Nairobi Securities Exchange Plc,Nation Media Group Plc,Olympia Capital Holdings Ltd,Safaricom Plc,Sameer Africa Plc,Sanlam Kenya Plc,Sasini Plc,Satrix MSCI World Feeder ETF,Shri Krishana Overseas Plc,Stanbic Holdings Plc,Standard Chartered Bank Kenya Ltd,Standard Group Plc,TPS Eastern Africa (Serena) Ltd,TotalEnergies Marketing Kenya Plc,Trans-Century Plc,Uchumi Supermarket Plc,Umeme Ltd,Unga Group Ltd,WPP ScanGroup Plc,Williamson Tea Kenya Plc,Zamara Kenya Equity Index (KES),Zamara Kenya Equity Index (USD)
2025-07-28,19.35,4080.0,5.55,63.5,34.55,89.5,47.2,8.48,398.75,3.38,24.8,21.55,11.55,17.0,43.0,0.45,80.0,11.6,207.0,1.0,44.4,49.8,0.94,4.18,1.25,7.8,0.63,4.66,36.85,231.75,47.1,4.1,6.0,439.0,338.25,5.22,7.38,10.95,2.21,1500.0,20.0,10.9,310.0,2.69,0.27,65.25,1581.92,2543.57,4130.57,161.55,,1155.7,1.81,10.0,13.7,3.8,27.15,6.48,7.8,15.05,,5.9,176.5,310.75,6.6,14.3,25.4,0.71,0.3,9.56,19.55,2.55,245.5,3197.56,2130.88
2025-07-29,19.5,4080.0,5.55,67.5,37.1,89.5,47.2,8.52,399.75,3.39,24.05,21.95,11.55,17.0,40.1,0.45,76.5,12.4,224.0,1.0,43.25,50.25,0.92,4.18,1.26,7.82,0.63,4.66,36.9,231.75,47.3,4.1,6.0,439.0,339.5,5.14,7.34,11.0,2.21,1500.0,20.0,10.95,310.0,2.68,0.27,65.75,1617.48,2565.78,4204.21,164.49,,1153.16,1.8,9.96,13.55,4.0,27.85,7.08,7.96,15.05,,5.9,177.0,310.25,6.6,14.5,25.35,0.71,0.29,9.52,19.55,2.51,245.25,3254.74,2168.99
2025-07-30,19.5,4080.0,5.55,67.5,35.9,89.5,47.2,8.54,402.0,3.39,24.05,21.6,11.5,17.0,39.6,0.45,77.5,11.7,226.0,1.0,44.6,50.25,0.9,4.2,1.2,7.8,0.61,4.66,36.95,239.0,47.35,4.1,6.0,439.0,345.0,5.1,7.4,11.35,2.22,1500.0,20.0,10.9,310.0,2.46,0.27,66.0,1613.27,2570.81,4199.94,163.67,,1150.14,1.83,9.66,13.7,4.03,27.4,7.76,7.98,15.2,,6.26,177.0,315.0,6.6,14.5,25.45,0.71,0.29,9.58,20.0,2.55,245.0,3249.25,2165.33
2025-07-31,19.5,4080.0,5.55,67.5,35.5,90.0,47.2,8.54,400.25,3.4,23.9,21.7,11.65,17.0,39.6,0.45,79.5,12.05,210.75,1.0,47.5,50.5,0.94,4.2,1.26,7.78,0.63,4.66,36.65,244.0,47.4,4.1,6.0,439.0,339.5,5.02,7.36,11.3,2.21,1500.0,20.0,10.9,310.0,2.58,0.27,66.25,1578.79,2558.63,4135.28,160.22,,1155.11,1.83,9.52,13.4,4.23,26.3,8.52,8.1,15.15,,5.92,177.25,316.25,6.52,14.5,25.5,0.71,0.29,9.6,20.1,2.57,245.5,3195.88,2129.76
2025-08-01,19.5,4080.0,5.55,67.5,35.2,90.0,47.2,8.46,404.5,3.41,23.7,22.05,11.75,16.7,43.25,0.45,76.5,12.5,210.25,1.0,50.75,50.5,0.94,4.5,1.26,7.52,0.63,4.66,36.85,267.0,47.3,4.1,6.0,439.0,310.5,5.02,7.26,11.2,2.22,1500.0,20.0,10.7,310.0,2.59,0.27,62.75,1570.16,2537.5,4106.83,158.95,,1151.6,1.8,10.35,13.2,4.48,26.0,8.74,8.22,15.05,,5.9,178.5,315.0,6.52,14.5,25.5,0.71,0.29,9.5,19.4,2.59,224.5,3200.53,2132.86
2025-08-04,19.5,4080.0,5.55,74.0,35.0,89.25,47.2,7.64,405.0,3.39,23.7,21.95,11.8,16.65,43.25,0.45,77.25,12.55,209.75,1.0,45.75,50.25,0.98,4.5,1.24,7.5,0.63,4.66,36.7,240.5,47.05,4.1,6.0,439.0,303.5,5.0,7.22,11.2,2.2,1500.0,20.0,10.85,310.0,2.59,0.27,64.75,1562.2,2522.6,4091.45,158.02,,1152.14,1.74,10.2,13.4,4.45,25.75,9.46,8.02,15.6,,6.12,179.75,311.5,6.5,14.5,27.25,0.71,0.29,9.5,19.5,2.69,225.25,3183.71,2121.65
2025-08-05,19.55,4080.0,5.55,74.0,34.5,90.0,47.2,7.7,405.0,3.38,24.8,22.15,11.7,16.6,41.0,0.45,77.25,13.1,208.75,1.0,45.7,50.5,1.01,4.43,1.25,7.42,0.63,4.66,36.6,260.0,47.15,4.1,6.0,439.0,310.0,4.99,7.28,11.25,2.22,1500.0,20.0,10.65,310.0,2.62,0.27,64.5,1564.17,2521.09,4097.37,158.38,,1153.69,1.71,10.15,13.4,4.52,25.85,10.35,8.4,15.85,792.0,5.98,178.0,313.25,6.5,14.5,27.0,0.71,0.3,9.5,20.4,2.61,237.75,3190.0,2125.85
2025-08-06,19.65,3985.0,5.55,74.0,34.5,89.75,47.2,7.78,408.75,3.36,24.8,22.0,11.55,16.55,41.0,0.45,76.75,13.0,207.75,1.0,47.2,51.5,1.05,4.5,1.26,7.28,0.64,4.66,36.75,265.0,47.5,4.1,6.0,439.0,316.5,4.9,7.24,11.35,2.2,1500.0,20.0,10.35,310.0,2.68,0.27,64.75,1572.71,2525.07,4122.17,159.24,,1150.78,1.72,10.15,13.55,4.59,26.0,10.9,8.38,16.2,792.0,6.1,179.75,317.75,6.5,14.5,27.4,0.71,0.29,9.5,20.4,2.69,238.0,3213.86,2141.74
2025-08-07,19.7,3985.0,5.55,74.0,35.45,89.5,47.2,7.62,414.75,3.38,23.75,22.45,11.7,16.8,43.7,0.45,77.75,13.45,209.5,1.0,47.65,52.0,1.04,4.4,1.27,7.38,0.65,4.66,36.75,264.5,48.05,4.1,6.0,439.0,316.5,4.91,7.42,11.4,2.25,1500.0,20.0,10.6,310.0,2.61,0.27,65.0,1589.48,2549.09,4159.04,160.98,,1147.58,1.71,9.9,13.6,4.98,26.4,11.8,8.12,16.3,792.0,6.1,180.0,319.0,5.96,14.5,26.9,0.71,0.29,9.48,20.4,2.61,235.0,3249.69,2160.6
2025-08-08,19.85,3985.0,5.55,74.0,35.95,89.75,47.2,8.0,419.0,3.42,24.6,22.6,11.75,16.95,43.75,0.45,79.5,14.0,208.0,1.0,48.55,52.5,1.06,4.32,1.27,7.3,0.65,4.66,37.3,260.0,48.35,4.1,6.0,410.0,317.75,4.9,7.44,11.3,2.25,1500.0,20.0,10.0,310.0,2.75,0.27,66.25,1593.22,2569.28,4176.79,161.19,,1148.69,1.72,10.35,13.7,5.4,26.25,12.55,8.38,15.95,792.0,6.12,180.75,321.0,5.94,14.1,26.95,0.71,0.31,9.46,20.4,2.73,244.75,3258.8,2171.69
